n,type,x,err
7,uni,-4.060000000000000e-01,1.982046698131606e-02
7,uni,-4.040000000000000e-01,2.159567167859699e-02
7,uni,-4.020000000000000e-01,2.337136400482231e-02
7,uni,-4.000000000000000e-01,2.514694105615500e-02
7,uni,-3.980000000000000e-01,2.692179548325918e-02
7,uni,-3.960000000000000e-01,2.869531550518806e-02
7,uni,-3.940000000000000e-01,3.046688492330055e-02
7,uni,-3.920000000000000e-01,3.223588313525291e-02
7,uni,-3.900000000000000e-01,3.400168514911103e-02
7,uni,-3.880000000000000e-01,3.576366159763447e-02
7,uni,-3.860000000000000e-01,3.752117875278421e-02
7,uni,-3.840000000000000e-01,3.927359854051085e-02
7,uni,-3.820000000000000e-01,4.102027855588089e-02
7,uni,-3.800000000000000e-01,4.276057207860468e-02
7,uni,-3.780000000000000e-01,4.449382808903035e-02
7,uni,-3.760000000000000e-01,4.621939128467342e-02
7,uni,-3.740000000000000e-01,4.793660209735576e-02
7,uni,-3.720000000000000e-01,4.964479671102862e-02
7,uni,-3.700000000000000e-01,5.134330708036311e-02
7,uni,-3.680000000000000e-01,5.303146095019134e-02
7,uni,-3.660000000000000e-01,5.470858187588867e-02
7,uni,-3.640000000000000e-01,5.637398924479134e-02
7,uni,-3.620000000000000e-01,5.802699829874799e-02
7,uni,-3.600000000000000e-01,5.966692015791039e-02
7,uni,-3.580000000000000e-01,6.129306184587111e-02
7,uni,-3.560000000000000e-01,6.290472631626479e-02
7,uni,-3.540000000000000e-01,6.450121248095300e-02
7,uni,-3.520000000000000e-01,6.608181523991927e-02
7,uni,-3.500000000000000e-01,6.764582551300669e-02
7,uni,-3.480000000000000e-01,6.919253027363970e-02
7,uni,-3.460000000000000e-01,7.072121258467384e-02
7,uni,-3.440000000000000e-01,7.223115163652821e-02
7,uni,-3.420000000000000e-01,7.372162278776040e-02
7,uni,-3.400000000000000e-01,7.519189760825323e-02
7,uni,-3.380000000000000e-01,7.664124392518890e-02
7,uni,-3.360000000000000e-01,7.806892587199421e-02
7,uni,-3.340000000000000e-01,7.947420394045196e-02
7,uni,-3.320000000000000e-01,8.085633503617828e-02
7,uni,-3.300000000000000e-01,8.221457253767844e-02
7,uni,-3.280000000000000e-01,8.354816635920209e-02
7,uni,-3.260000000000000e-01,8.485636301762700e-02
7,uni,-3.240000000000000e-01,8.613840570361475e-02
7,uni,-3.220000000000000e-01,8.739353435728786e-02
7,uni,-3.200000000000000e-01,8.862098574869320e-02
7,uni,-3.179999999999999e-01,8.981999356332399e-02
7,uni,-3.159999999999999e-01,9.098978849298828e-02
7,uni,-3.139999999999999e-01,9.212959833232093e-02
7,uni,-3.120000000000001e-01,9.323864808125121e-02
7,uni,-3.100000000000001e-01,9.431616005374893e-02
7,uni,-3.080000000000001e-01,9.536135399318740e-02
7,uni,-3.060000000000000e-01,9.637344719467494e-02
7,uni,-3.040000000000000e-01,9.735165463471990e-02
7,uni,-3.020000000000000e-01,9.829518910861001e-02
7,uni,-3.000000000000000e-01,9.920326137590169e-02
7,uni,-2.980000000000000e-01,1.000750803144307e-01
7,uni,-2.960000000000000e-01,1.009098530832713e-01
7,uni,-2.940000000000000e-01,1.017067852950860e-01
7,uni,-2.920000000000000e-01,1.024650811983289e-01
7,uni,-2.900000000000000e-01,1.031839438697777e-01
7,uni,-2.880000000000000e-01,1.038625754178902e-01
7,uni,-2.860000000000000e-01,1.045001771974982e-01
7,uni,-2.840000000000000e-01,1.050959500363697e-01
7,uni,-2.820000000000000e-01,1.056490944741900e-01
7,uni,-2.800000000000000e-01,1.061588110145276e-01
7,uni,-2.780000000000000e-01,1.066243003903757e-01
7,uni,-2.760000000000000e-01,1.070447638438732e-01
7,uni,-2.740000000000000e-01,1.074194034208353e-01
7,uni,-2.720000000000000e-01,1.077474222807348e-01
7,uni,-2.700000000000000e-01,1.080280250228038e-01
7,uni,-2.680000000000000e-01,1.082604180289420e-01
7,uni,-2.660000000000000e-01,1.084438098241325e-01
7,uni,-2.640000000000000e-01,1.085774114550959e-01
7,uni,-2.620000000000000e-01,1.086604368879232e-01
7,uni,-2.600000000000000e-01,1.086921034254545e-01
7,uni,-2.580000000000000e-01,1.086716321451845e-01
7,uni,-2.560000000000000e-01,1.085982483584998e-01
7,uni,-2.540000000000000e-01,1.084711820920630e-01
7,uni,-2.520000000000000e-01,1.082896685921860e-01
7,uni,-2.500000000000000e-01,1.080529488530438e-01
7,uni,-2.480000000000000e-01,1.077602701695994e-01
7,uni,-2.460000000000000e-01,1.074108867161237e-01
7,uni,-2.440000000000000e-01,1.070040601512093e-01
7,uni,-2.420000000000000e-01,1.065390602501892e-01
7,uni,-2.400000000000000e-01,1.060151655658792e-01
7,uni,-2.380000000000000e-01,1.054316641185750e-01
7,uni,-2.360000000000000e-01,1.047878541162409e-01
7,uni,-2.340000000000000e-01,1.040830447058293e-01
7,uni,-2.320000000000000e-01,1.033165567566770e-01
7,uni,-2.300000000000000e-01,1.024877236769182e-01
7,uni,-2.280000000000000e-01,1.015958922638537e-01
7,uni,-2.260000000000000e-01,1.006404235892113e-01
7,uni,-2.240000000000000e-01,9.962069392021516e-02
7,uni,-2.220000000000000e-01,9.853609567737243e-02
7,uni,-2.200000000000000e-01,9.738603842986676e-02
7,uni,-2.180000000000000e-01,9.616994992942329e-02
7,uni,-2.160000000000000e-01,9.488727718347972e-02
7,uni,-2.140000000000000e-01,9.353748756846808e-02
7,uni,-2.120000000000000e-01,9.212006998396749e-02
7,uni,-2.100000000000000e-01,9.063453604844701e-02
7,uni,-2.080000000000000e-01,8.908042133725902e-02
7,uni,-2.060000000000000e-01,8.745728666348662e-02
7,uni,-2.040000000000000e-01,8.576471940218211e-02
7,uni,-2.020000000000000e-01,8.400233485844977e-02
7,uni,-2.000000000000000e-01,8.216977767975175e-02
7,uni,-1.980000000000000e-01,8.026672331270934e-02
7,uni,-1.960000000000000e-01,7.829287950457842e-02
7,uni,-1.940000000000000e-01,7.624798784945341e-02
7,uni,-1.919999999999999e-01,7.413182537913343e-02
7,uni,-1.899999999999999e-01,7.194420619844721e-02
7,uni,-1.879999999999999e-01,6.968498316467542e-02
7,uni,-1.860000000000001e-01,6.735404961055957e-02
7,uni,-1.840000000000001e-01,6.495134111019529e-02
7,uni,-1.820000000000001e-01,6.247683728693365e-02
7,uni,-1.800000000000000e-01,5.993056366219385e-02
7,uni,-1.780000000000000e-01,5.731259354388807e-02
7,uni,-1.760000000000000e-01,5.462304995290956e-02
7,uni,-1.740000000000000e-01,5.186210758589860e-02
7,uni,-1.720000000000000e-01,4.902999481222414e-02
7,uni,-1.700000000000000e-01,4.612699570284573e-02
7,uni,-1.680000000000000e-01,4.315345208841459e-02
7,uni,-1.660000000000000e-01,4.010976564366264e-02
7,uni,-1.640000000000000e-01,3.699639999479476e-02
7,uni,-1.620000000000000e-01,3.381388284624909e-02
7,uni,-1.600000000000000e-01,3.056280812282941e-02
7,uni,-1.580000000000000e-01,2.724383812282949e-02
7,uni,-1.560000000000000e-01,2.385770567737622e-02
7,uni,-1.540000000000000e-01,2.040521631080305e-02
7,uni,-1.520000000000000e-01,1.688725039644334e-02
7,uni,-1.500000000000000e-01,1.330476530179581e-02
7,uni,-1.480000000000000e-01,9.658797516557960e-03
7,uni,-1.460000000000000e-01,5.950464756568463e-03
7,uni,-1.440000000000000e-01,2.180968036231690e-03
7,uni,-1.420000000000000e-01,1.648406298489058e-03
7,uni,-1.400000000000000e-01,5.536284584892082e-03
7,uni,-1.380000000000000e-01,9.481203915042369e-03
7,uni,-1.360000000000000e-01,1.348161027331973e-02
7,uni,-1.340000000000000e-01,1.753585674983615e-02
7,uni,-1.320000000000000e-01,2.164220184002996e-02
7,uni,-1.300000000000000e-01,2.579880784120381e-02
7,uni,-1.280000000000000e-01,3.000373935721756e-02
7,uni,-1.260000000000000e-01,3.425496192297584e-02
7,uni,-1.240000000000000e-01,3.855034076075914e-02
7,uni,-1.220000000000000e-01,4.288763968081188e-02
7,uni,-1.200000000000000e-01,4.726452013896154e-02
7,uni,-1.180000000000000e-01,5.167854046432130e-02
7,uni,-1.160000000000000e-01,5.612715527041345e-02
7,uni,-1.140000000000000e-01,6.060771506323359e-02
7,uni,-1.120000000000000e-01,6.511746605994706e-02
7,uni,-1.100000000000000e-01,6.965355023197772e-02
7,uni,-1.080000000000000e-01,7.421300558628308e-02
7,uni,-1.060000000000000e-01,7.879276669853619e-02
7,uni,-1.040000000000000e-01,8.338966551180571e-02
7,uni,-1.020000000000000e-01,8.800043241408795e-02
7,uni,-9.999999999999998e-02,9.262169760772299e-02
7,uni,-9.799999999999998e-02,9.724999278329760e-02
7,uni,-9.599999999999997e-02,1.018817531101133e-01
7,uni,-9.399999999999997e-02,1.065133195546417e-01
7,uni,-9.199999999999997e-02,1.111409415376430e-01
7,uni,-8.999999999999997e-02,1.157607799397272e-01
7,uni,-8.799999999999997e-02,1.203689104641525e-01
7,uni,-8.599999999999997e-02,1.249613273645065e-01
7,uni,-8.399999999999996e-02,1.295339475436722e-01
7,uni,-8.199999999999996e-02,1.340826150290940e-01
7,uni,-7.999999999999996e-02,1.386031058278395e-01
7,uni,-7.799999999999996e-02,1.430911331633299e-01
7,uni,-7.599999999999996e-02,1.475423530938437e-01
7,uni,-7.399999999999995e-02,1.519523705110335e-01
7,uni,-7.199999999999995e-02,1.563167455147052e-01
7,uni,-6.999999999999995e-02,1.606310001580344e-01
7,uni,-6.799999999999995e-02,1.648906255552081e-01
7,uni,-6.599999999999995e-02,1.690910893412332e-01
7,uni,-6.399999999999995e-02,1.732278434713217e-01
7,uni,-6.200000000000006e-02,1.772963323448900e-01
7,uni,-6.000000000000005e-02,1.812920012367937e-01
7,uni,-5.800000000000005e-02,1.852103050159913e-01
7,uni,-5.600000000000005e-02,1.890467171293929e-01
7,uni,-5.400000000000005e-02,1.927967388262434e-01
7,uni,-5.200000000000005e-02,1.964559085960170e-01
7,uni,-5.000000000000004e-02,2.000198117905010e-01
7,uni,-4.800000000000004e-02,2.034840903985240e-01
